Taxon	Home_range	Mass	Diet	Environment
Tamiasciurus_hudsonicus	-2.32	-0.65	Herbivore	Terrestrial
Tarsius_bancanus	-0.94	-1.70	Omnivore	Terrestrial
Tarsius_tarsier	-0.77	-1.70	Omnivore	Terrestrial
Tatera_indica	-0.86	-2.76	Omnivore	Terrestrial
Taxidea_taxus	0.58	0.94	Carnivore	Terrestrial
Tayassu_pecari	1.16	1.31	Herbivore	Terrestrial
Thomomys_bottae	-4.15	-0.80	Herbivore	Terrestrial
Thomomys_bottae	-1.54	-3.15	Omnivore	Terrestrial
Thylamys_elegans	-1.68	-1.70	Carnivore	Terrestrial
Thylogale_stigmatica	-1.45	0.67	Herbivore	Terrestrial
Thylogale_thetis	-0.86	0.73	Herbivore	Terrestrial
Tragelaphus_oryx	1.72	2.80	Herbivore	Terrestrial
Tragelaphus_scriptus	-1.43	1.74	Herbivore	Terrestrial
Tragelaphus_strepsiceros	3.03	2.30	Herbivore	Terrestrial
Trichosurus_vulpecula	-1.30	0.46	Herbivore	Terrestrial
Tupaia_glis	-0.88	-2.06	Omnivore	Terrestrial
Tursiops_aduncus	2.00	2.33	Carnivore	Marine
Tursiops_truncates	1.71	2.56	Carnivore	Marine
Uncia_uncia	1.24	1.48	Carnivore	Terrestrial
Urocyon_cinereoargenteus	0.44	0.66	Omnivore	Terrestrial
Urocyon_littoralis	-0.71	0.29	Omnivore	Terrestrial
Urotrichus_talpoides	-1.74	-2.66	Omnivore	Terrestrial
Ursus_americanus	1.59	2.18	Omnivore	Terrestrial
Ursus_arctos	2.91	2.34	Omnivore	Terrestrial
Ursus_maritimus	5.10	2.41	Carnivore	Marine
Viverra_zibetha	1.08	0.90	Carnivore	Terrestrial
Viverricula_indica	0.49	0.53	Omnivore	Terrestrial
Vombatus_ursinus	-0.97	1.41	Herbivore	Terrestrial
Vulpes_macrotis	0.94	0.65	Carnivore	Terrestrial
Vulpes_rueppelli	1.48	0.51	Carnivore	Terrestrial
Vulpes_velox	0.32	0.74	Carnivore	Terrestrial
Vulpes_vulpes	0.69	0.81	Omnivore	Terrestrial
Wallabia_bicolor	-0.82	1.18	Herbivore	Terrestrial
Xerus_erythropus	-0.91	-0.30	Herbivore	Terrestrial
Xerus_rutilus	-1.38	-0.50	Omnivore	Terrestrial
Zalophus_californianus	3.72	1.93	Carnivore	Marine
Zapus_hudsonius	-1.73	-2.64	Omnivore	Terrestrial
Zapus_princeps	-1.57	-2.61	Omnivore	Terrestrial
